@id,@type,_id,address.area,address.district,audience,description,dtend,dtstart,event-location,excluded-days,free,id,link,location.latitude,location.longitude,organization.accesibility,organization.organization-name,price,relation.@id,time,title,uid
https://datos.madrid.es/egob/catalogo/tipo/evento/11630153-3-5-anos-lost-and-found-my-pet-.json,https://datos.madrid.es/egob/kos/actividades/CuentacuentosTiteresMarionetas,6240ba1fb7238a7b5ca2d1d4,,,"Niños,Familias",,2022-04-18 23:59:00.0,2022-04-18 18:00:00.0,Biblioteca Pública Municipal Miguel Delibes (Moratalaz),,1,11630153,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=87e982926d39f710VgnVCM2000001f4a900aRCRD,40.40971737692924,-3.6529822109115133,"1,6",Biblioteca Pública Municipal Miguel Delibes (Moratalaz),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/1752-biblioteca-publica-municipal-miguel-delibes-moratalaz-.json,18:00,"3 a 5 años. 'Lost and found' &amp; 'My pet'",11630153
https://datos.madrid.es/egob/catalogo/tipo/evento/11630154-3-5-anos-lost-and-found-my-pet-.json,https://datos.madrid.es/egob/kos/actividades/CuentacuentosTiteresMarionetas,6240ba1fb7238a7b5ca2d1d5,,,"Niños,Familias",,2022-04-23 23:59:00.0,2022-04-23 12:00:00.0,Biblioteca Pública Municipal de San Fermín (Usera),,1,11630154,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=162a82926d39f710VgnVCM2000001f4a900aRCRD,40.3711623444796,-3.692742821990015,"1,5,6",Biblioteca Pública Municipal de San Fermín (Usera),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/11572165-biblioteca-publica-municipal-san-fermin-usera-.json,12:00,"3 a 5 años. 'Lost and found' &amp; 'My pet'",11630154
https://datos.madrid.es/egob/catalogo/tipo/evento/11630144-3-5-anos-the-hungry-caterpillar-the-fox-and-the-crow-.json,https://datos.madrid.es/egob/kos/actividades/CuentacuentosTiteresMarionetas,6240ba1fb7238a7b5ca2d1d6,,,"Niños,Familias",,2022-04-07 23:59:00.0,2022-04-07 18:00:00.0,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),,1,11630144,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5cb882926d39f710VgnVCM2000001f4a900aRCRD,40.47860087334554,-3.7094408342979954,1,Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/1790-biblioteca-publica-municipal-jose-saramago-fuencarral-pardo-.json,18:00,"3 a 5 años. 'The hungry caterpillar' &amp; 'The fox and the crow'",11630144
https://datos.madrid.es/egob/catalogo/tipo/evento/11630143-3-5-anos-the-hungry-caterpillar-the-fox-and-the-crow-.json,https://datos.madrid.es/egob/kos/actividades/CuentacuentosTiteresMarionetas,6240ba1fb7238a7b5ca2d1d7,,,"Niños,Familias",,2022-04-20 23:59:00.0,2022-04-20 18:00:00.0,Biblioteca Pública Municipal Dámaso Alonso (Chamartín),,1,11630143,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2a7882926d39f710VgnVCM2000001f4a900aRCRD,40.467453379213175,-3.6846112774442705,"1,6",Biblioteca Pública Municipal Dámaso Alonso (Chamartín),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/51188-biblioteca-publica-municipal-damaso-alonso-chamartin-.json,18:00,"3 a 5 años. 'The hungry caterpillar' &amp; 'The fox and the crow'",11630143
https://datos.madrid.es/egob/catalogo/tipo/evento/11617935-57-premio-reina-sofia-pintura-escultura-.json,https://datos.madrid.es/egob/kos/actividades/Exposiciones,6240ba1fb7238a7b5ca2d1d8,,,No audience,,2022-04-03 23:59:00.0,2022-03-03 00:00:00.0,Centro Cultural Casa de Vacas (Retiro),,1,11617935,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2c103e229ca4f710VgnVCM1000001d4a900aRCRD,40.41906024374356,-3.6840615387926956,1,Centro Cultural Casa de Vacas (Retiro),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/1945-centro-cultural-casa-vacas-retiro-.json,,57 premio Reina Sofía de pintura y escultura.,11617935
https://datos.madrid.es/egob/catalogo/tipo/evento/11630142-6-9-anos-the-cat-in-the-hat-sown-friends-.json,https://datos.madrid.es/egob/kos/actividades/CuentacuentosTiteresMarionetas,6240ba1fb7238a7b5ca2d1d9,,,"Niños,Familias",,2022-04-25 23:59:00.0,2022-04-25 18:00:00.0,Biblioteca Pública Municipal San Blas (San Blas-Canillejas),,1,11630142,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=483882926d39f710VgnVCM2000001f4a900aRCRD,40.420231627534996,-3.6218113860909074,"1,6",Biblioteca Pública Municipal San Blas (San Blas-Canillejas),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/1746-biblioteca-publica-municipal-san-blas-san-blas-canillejas-.json,18:00,"6 a 9 años. 'The cat in the hat' &amp; 'Sown friends'",11630142
https://datos.madrid.es/egob/catalogo/tipo/evento/11630140-6-9-anos-the-cat-in-the-hat-sown-friends-.json,https://datos.madrid.es/egob/kos/actividades/CuentacuentosTiteresMarionetas,6240ba1fb7238a7b5ca2d1da,,,"Niños,Familias",,2022-04-08 23:59:00.0,2022-04-08 18:00:00.0,Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal),,1,11630140,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=21a73c261539f710VgnVCM2000001f4a900aRCRD,40.43644651057092,-3.6372924261150033,"1,6",Biblioteca Pública Municipal Ciudad Lineal (Ciudad Lineal),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/1794-biblioteca-publica-municipal-ciudad-lineal-ciudad-lineal-.json,18:00,"6 a 9 años. 'The cat in the hat' &amp; 'Sown friends'",11630140
https://datos.madrid.es/egob/catalogo/tipo/evento/11630141-6-9-anos-the-cat-in-the-hat-sown-friends-.json,https://datos.madrid.es/egob/kos/actividades/CuentacuentosTiteresMarionetas,6240ba1fb7238a7b5ca2d1db,,,"Niños,Familias",,2022-04-06 23:59:00.0,2022-04-06 18:00:00.0,Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas),,1,11630141,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=06d73c261539f710VgnVCM2000001f4a900aRCRD,40.3735856436473,-3.6602546064905397,"1,6",Biblioteca Pública Municipal Pozo del Tío Raimundo (Puente de Vallecas),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/1792-biblioteca-publica-municipal-pozo-tio-raimundo-puente-vallecas-.json,18:00,"6 a 9 años. 'The cat in the hat' &amp; 'Sown friends'",11630141
https://datos.madrid.es/egob/catalogo/tipo/evento/11630150-6-9-anos-the-enormous-turnip-tell-me-something-happy-before-i-go-to-sleep-.json,https://datos.madrid.es/egob/kos/actividades/CuentacuentosTiteresMarionetas,6240ba1fb7238a7b5ca2d1dc,,,"Niños,Familias",,2022-04-05 23:59:00.0,2022-04-05 18:00:00.0,Biblioteca Pública Municipal La Elipa (Ciudad Lineal),,1,11630150,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fad982926d39f710VgnVCM2000001f4a900aRCRD,40.42342659084215,-3.651841641389484,"1,6",Biblioteca Pública Municipal La Elipa (Ciudad Lineal),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/51849-biblioteca-publica-municipal-elipa-ciudad-lineal-.json,18:00,"6 a 9 años. 'The enormous turnip' &amp; 'Tell me something happy before I go to sleep'",11630150
https://datos.madrid.es/egob/catalogo/tipo/evento/11630151-6-9-anos-the-enormous-turnip-tell-me-something-happy-before-i-go-to-sleep-.json,https://datos.madrid.es/egob/kos/actividades/CuentacuentosTiteresMarionetas,6240ba1fb7238a7b5ca2d1dd,,,"Niños,Familias",,2022-04-09 23:59:00.0,2022-04-09 12:00:00.0,Biblioteca Pública Municipal María Lejárraga (Hortaleza),,1,11630151,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a2d982926d39f710VgnVCM2000001f4a900aRCRD,40.49041562546542,-3.655356751728003,"1,6",Biblioteca Pública Municipal María Lejárraga (Hortaleza),,https://datos.madrid.es/egob/catalogo/tipo/entidadesyorganismos/10395362-biblioteca-publica-municipal-maria-lejarraga-hortaleza-.json,12:00,"6 a 9 años. 'The enormous turnip' &amp; 'Tell me something happy before I go to sleep'",11630151
